beta,gamma,rho,source_distance,kernel_weight
0.1539295942219846,0.07903561565938333,0.30144393649668616,0.2456847364255726,0.7044498655293632
0.15161613679851665,0.08053921937377596,0.30104142322791216,0.245953282547375,0.7043502338028466
0.15405241686267088,0.0797862624358428,0.30618400884879826,0.2475291801938022,0.703763375786049
0.14934280283057813,0.08317251126355626,0.29688764896022685,0.2480992811611084,0.7035501492130768
0.15756724388508841,0.08354000085280447,0.3094783220634136,0.2481545026041183,0.703529469481677
0.15695079696920047,0.08160595488203874,0.30585623386151883,0.2501271040683706,0.7027877366230431
0.15161208477800006,0.08141707869570491,0.3030025757913414,0.2501678883152944,0.7027723390627008
0.16282837274371126,0.08334261328487193,0.31353312090776914,0.2506905246279307,0.7025748023303228
0.15418977065260403,0.08116271325427109,0.3069178031536448,0.251121760166912,0.7024115012172041
0.1540787830607574,0.08296100349637889,0.307135001903914,0.2512077510351761,0.7023789044644352
0.14820018338662144,0.08073189144089554,0.30075652124110264,0.2521528914105083,0.7020198925325978
0.15499877408670185,0.08282715089832399,0.30413268133639393,0.2525103572547156,0.7018837576122037
0.15951361076585124,0.08114416097149842,0.3102107315889374,0.2529087994634158,0.7017317902416761
0.1542899993772964,0.08174432252492166,0.303245276935644,0.2530032633865683,0.7016957262059799
0.15490762142775874,0.08159439007545144,0.30566298782858636,0.2532524428738922,0.7016005309007585
0.1589310193780647,0.08239419452276013,0.3090205347593469,0.2539071215863075,0.7013499741253816
0.15538234539089935,0.08176349172385985,0.3057381177962374,0.2544134733918429,0.7011557409634868
0.15186113254496675,0.08180787311458335,0.30238631285416323,0.254944400732868,0.7009516652017396
0.1553957002584472,0.08144562402739199,0.3049465879676854,0.2551084066674112,0.7008885392386737
0.1535539347221433,0.08159269121786376,0.30169852161242394,0.2551816195530093,0.700860346457809
0.1573611210692993,0.07855542865548464,0.3085459852780892,0.2559553981857562,0.7005618856027216
0.1499291462050439,0.08021983799764085,0.29670414469821665,0.2565590970533633,0.7003284001509003
0.15465954775728297,0.07739077440044372,0.3064118432850123,0.2568387346027767,0.7002200616482328
0.1535399718779532,0.08145674845709754,0.3032962184507172,0.2570363842572993,0.7001434160953905
0.15929411891340287,0.0855288881014536,0.3132046253205556,0.2580938120193748,0.6997323600610525
0.14978016655563428,0.08260697029934685,0.30351898734744975,0.2582720735025819,0.6996628978874224
0.15448540667441107,0.08064840878324704,0.30369119460775323,0.2599974673670801,0.6989880945118271
0.15398411988458702,0.08185481484668175,0.3065490218368606,0.2601058183681561,0.6989455683843262
0.1544985103755683,0.08231395796676601,0.30371036061671064,0.2604816182811961,0.6987979353079595
0.1545159613832696,0.08115492411845501,0.2998954662282808,0.2605176116432563,0.6987837841229874
0.15266934857026487,0.08271460511559177,0.2991044328290092,0.2607023656082345,0.6987111152990385
0.1543824878732043,0.08302864919376096,0.3041834893761174,0.2611131331125158,0.6985493645260331
0.1490120745037462,0.08187980360880764,0.299668782500493,0.2611271264048496,0.6985438498047618
0.151407340297937,0.08032457630347938,0.3029896650994227,0.2612563669066745,0.6984929024790509
0.15677171229425418,0.08425609014766586,0.31087093329412496,0.2615434995489027,0.6983796229729868
0.1572770904711079,0.08136738550076517,0.3077603534239506,0.2622832894314327,0.6980871879366743
0.15564759097614791,0.08348690156382929,0.3040086393594063,0.2625235590543572,0.6979920329239061
0.14758076949043386,0.07987377199168061,0.29674698894612356,0.2630177267618787,0.6977960516787206
0.15901273575196692,0.08068388436653742,0.3085301363004615,0.2630595570528706,0.6977794453455717
0.15175741904118717,0.08230967664958881,0.30274025628072987,0.2631579069322955,0.6977403907270199
0.15163786672013546,0.08133136091308935,0.2995825461783178,0.2632800055707103,0.6976918851929683
0.15517107195909777,0.08053883346611469,0.3080512580461634,0.263411266871845,0.697639714556126
0.153914443648565,0.08088767574544248,0.3005034811942384,0.2635224165835196,0.6975955170654496
0.15157755146760013,0.08228246356133281,0.30144967608669654,0.2636797818797255,0.6975329105564914
0.15393046671019164,0.08217746958314873,0.30835742164081326,0.2637462435912769,0.6975064580768695
0.15649896421296366,0.08317514341863876,0.30760467470461844,0.2641466322937943,0.6973469579888016
0.15145023711331912,0.08231280824933679,0.304935177840155,0.2642143806435537,0.6973199456121728
0.15100836761002737,0.0820599027586797,0.29562815754425564,0.2646279836223189,0.6971548850927902
