beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction
0.1592846995344276,0.0863212789307256,0.3062318949661091,0.1910863811806059,0.64075,8.675,10.640249999999998,70.65,96.15,5.7,530.925,0.9385572139303482
0.160369548425742,0.0893232153335264,0.3170135726980583,0.1914014699581837,0.6447499999999999,8.7,10.44025,69.325,100.85,5.45,549.95,0.93818407960199
0.1485008750067664,0.0831804935929658,0.2790429694924272,0.1922968897370326,0.6537499999999999,8.75,10.987875,71.675,94.325,5.425,508.625,0.9353233830845772
0.1500572484868667,0.0756392746821472,0.2934516360487246,0.1924963328808528,0.6766249999999999,8.775,12.242,78.125,98.675,5.3,529.0,0.9388059701492536
0.1501608586593475,0.0806594662513621,0.2955182507593023,0.1929018746081143,0.6623749999999999,9.05,11.37175,73.95,95.85,5.8,524.625,0.9347014925373134
0.16558707604326,0.0876685759261761,0.3112527975310045,0.1933108399006591,0.641,8.5,10.330625,71.175,97.85,5.475,526.725,0.9363184079601988
0.1570292715734155,0.0756926330722904,0.3109641764606245,0.1936543731094989,0.6688750000000001,8.75,12.151125,80.55,100.775,5.575,550.275,0.9347014925373134
0.1664760747694605,0.0868479780269122,0.3173452220185805,0.1943028567541096,0.6485,8.45,10.566624999999998,72.95,103.8,5.325,542.6,0.9384328358208954
0.1609257050810507,0.082017932741485,0.2960535580631102,0.1965586709769634,0.64875,8.525,10.93875,71.55,97.1,5.375,509.05,0.9379353233830846
0.1594667037928844,0.0878200569623401,0.3099476010133061,0.1974338573314005,0.6395,8.55,10.38925,69.525,99.5,5.475,541.625,0.9371890547263682
0.159013354775178,0.078291665099754,0.3262689675226207,0.1995203081008807,0.654625,8.775,11.70975,74.525,102.9,5.7,580.1,0.9347014925373134
0.1510497537156953,0.082204280400423,0.3158613730392474,0.2021194517114282,0.657,9.05,11.307999999999998,75.7,100.5,5.8,574.85,0.9379353233830844
0.1596355489427636,0.0788564801141977,0.2901670927518165,0.2033890005577028,0.677125,8.575,11.624124999999998,75.0,97.45,5.45,502.65,0.9384328358208954
0.1486324126612486,0.0840862017732148,0.278376331338001,0.205735894069846,0.652625,8.925,11.047499999999998,76.775,93.025,5.55,508.35,0.9344527363184078
0.1558133589512518,0.0871702093628489,0.2948111858702898,0.2073157592428237,0.63825,8.95,10.653875,72.825,94.85,5.7,522.475,0.9344527363184078
0.1486140323927862,0.0827173221821399,0.3050119863144809,0.207454203818651,0.64025,9.0,11.059499999999998,74.7,98.825,5.775,561.675,0.9329601990049752
0.1530524469350391,0.0834098554806079,0.2882890173588288,0.2093916595351539,0.64625,8.75,10.923624999999998,74.975,93.725,5.775,511.2,0.9360696517412934
0.1573204217135498,0.0821580306812532,0.288881927602385,0.209440832479415,0.66725,8.5,11.289374999999998,72.525,95.15,5.45,501.275,0.9370646766169154
0.1510637433451235,0.084308727406608,0.2918501956037579,0.2095321776177469,0.6345,8.775,10.746875,71.875,95.4,5.65,534.225,0.932587064676617
