beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction,weight,stage,epsilon
0.16809317689069492,0.08904027431876001,0.2940626256435723,0.34640061193363103,0.641625,8.25,10.299375,68.625,94.5,5.35,489.675,0.9379353233830845,0.0009014250465908661,4,0.9028721458215555
0.15074733959054323,0.08783677971555393,0.3529925040625458,0.7888281979492539,0.6154999999999999,9.625,10.438624999999998,66.3,108.55,6.375,668.825,0.9286069651741293,0.0011520846553992599,4,0.9028721458215555
0.17402623722290583,0.07104358988598825,0.38395188435913585,0.845082217152572,0.709125,8.55,13.031,85.675,127.825,5.5,665.075,0.9427860696517414,0.0012105326178268288,4,0.9028721458215555
0.16566376548429607,0.11559556606255826,0.3467836018351016,0.8639268829699353,0.55575,8.45,7.495875000000001,52.475,103.05,5.375,594.05,0.9327114427860697,0.0009432486426559891,4,0.9028721458215555
0.17398034093376785,0.0887853549003811,0.2795462959769871,0.6573611003710883,0.6609999999999999,7.75,10.338999999999999,66.8,95.2,4.825,448.625,0.9458955223880597,0.0009025418026483714,4,0.9028721458215555
0.18855982728732062,0.0742844860772392,0.3775824963631168,0.7352042751505115,0.70825,7.975,12.420124999999999,78.4,123.125,4.95,611.75,0.9468905472636816,0.0010678622232648905,4,0.9028721458215555
0.13311367222351383,0.061915665863301,0.22358647764444411,0.8862025266419866,0.718,9.125,15.159875,95.275,80.325,5.575,442.05,0.9350746268656716,0.0012953509223604315,4,0.9028721458215555
0.13747640922968007,0.08721485701571365,0.21579255414056495,0.7940938778274208,0.625125,8.9,10.48775,69.625,71.5,5.475,401.975,0.932089552238806,0.0010774798733062755,4,0.9028721458215555
0.17342539830320597,0.10303440670704883,0.3119937034291326,0.5984838299583336,0.617375,7.95,8.791,60.775,99.6,5.075,498.625,0.9400497512437811,0.0008544355653518033,4,0.9028721458215555
0.19054302353663796,0.12311247311803951,0.3516199725054269,0.88226682431417,0.56725,8.175,7.209874999999999,51.15,102.175,5.125,544.125,0.9419154228855721,0.0008469016582135748,4,0.9028721458215555
0.12700001829249508,0.0933507636561191,0.2566406248937965,0.8934069746210332,0.5952500000000001,10.075,9.755374999999999,66.2,81.975,6.65,521.425,0.9227611940298509,0.0011529685867326298,4,0.9028721458215555
0.19292246810436534,0.07910060869452282,0.32028963586113474,0.8333770008028767,0.69725,7.125,11.568249999999999,73.65,110.45,4.375,491.475,0.9488805970149254,0.0009544934136370372,4,0.9028721458215555
0.15298522101429465,0.08021576131481375,0.22834542050019582,0.7565834693462662,0.6797500000000001,8.2,11.570874999999997,74.725,78.775,5.075,392.25,0.940547263681592,0.0010365806626317273,4,0.9028721458215555
0.1361996725739522,0.06286843620517439,0.26455389395315065,0.59926512365834,0.709125,9.475,14.626249999999999,86.15,92.55,5.925,513.7,0.9366915422885572,0.0012758190580269093,4,0.9028721458215555
0.17942023530385132,0.10079850417434125,0.3878627313897678,0.8034972767071263,0.625875,8.3,8.97275,57.6,123.3,5.2,633.575,0.9395522388059702,0.0009544646317548109,4,0.9028721458215555
0.1672511301424334,0.11324096097219404,0.3275561819242637,0.7692244888365171,0.564875,8.5,7.790625,54.0,96.8,5.375,542.625,0.9340796019900497,0.0008954913111709759,4,0.9028721458215555
0.14583910778694986,0.09331588405019872,0.2938621394869872,0.4516882690896685,0.62,9.225,9.91725,63.925,91.875,5.95,544.15,0.9330845771144277,0.00100656955909793,4,0.9028721458215555
0.15976120092663154,0.08184249401120386,0.3820840808332033,0.826925191856361,0.6527499999999999,9.375,11.457749999999999,70.775,121.025,6.175,699.525,0.9342039800995025,0.001227808963196224,4,0.9028721458215555
0.13159760557442035,0.06298180609174492,0.23663833220441716,0.7896814503709854,0.6983750000000001,9.25,14.810999999999996,94.85,82.875,5.575,471.75,0.9318407960199003,0.0012903013694893503,4,0.9028721458215555
0.17874525236267935,0.11498366746012537,0.32191249590653886,0.8885544541523047,0.576375,8.1,7.735124999999999,49.8,96.375,4.9,503.175,0.9384328358208955,0.0008471131163772562,4,0.9028721458215555
0.15673155462233349,0.1012864953169047,0.34764544154615684,0.8012592303767381,0.5818749999999999,9.3,8.764,60.125,102.225,6.25,633.65,0.9278606965174131,0.0010173342337512217,4,0.9028721458215555
0.1633803109822283,0.09668000469778673,0.3360865304290579,0.4545814788413973,0.619,8.65,9.406125,63.9,108.7,5.325,575.25,0.9381840796019901,0.0009385307678957933,4,0.9028721458215555
0.16257412908399196,0.09248449344282814,0.3912181650428731,0.893846474709072,0.618125,9.45,9.924374999999998,65.0,115.55,6.225,704.7,0.9292288557213929,0.0011670343928104824,4,0.9028721458215555
0.1567774670430041,0.10373184723304837,0.29624175007971176,0.6396062841470994,0.59225,8.825,8.565875,57.075,91.975,5.45,517.8,0.932089552238806,0.0009186415532143648,4,0.9028721458215555
0.14607168886540686,0.08437396146529795,0.21831360421385893,0.8261566640741583,0.6448750000000001,8.25,10.662624999999997,72.225,73.975,5.1,381.525,0.9379353233830845,0.0010492819722622178,4,0.9028721458215555
0.16534424688751614,0.10028055177567011,0.2774281685373331,0.6392282780802624,0.626375,8.1,9.133999999999999,60.925,88.175,5.2,456.2,0.9393034825870646,0.0008848741308750227,4,0.9028721458215555
0.1687473816268206,0.08301308519925497,0.28189909224222254,0.5758722229362213,0.6815,7.825,11.0125,72.025,96.9,4.85,461.65,0.9452736318407962,0.0009342179134720574,4,0.9028721458215555
0.17718596630894187,0.07183051331594852,0.3496545638849824,0.5243728230585476,0.695125,8.35,12.766749999999998,84.45,115.25,5.225,575.075,0.9426616915422885,0.0010648392154521623,4,0.9028721458215555
0.15829829495616018,0.0653699653569335,0.3368615260158023,0.7337271756827494,0.7063750000000001,9.15,14.470374999999999,94.55,111.15,5.75,606.675,0.9380597014925375,0.0012268429647138337,4,0.9028721458215555
